text,sentiment
"Seblm jdi presiden hingga jdi presiden tekadny ttap sama, luar biasa.",positive
Setiap pak presiden Prabowo bicara statement-statement membuat sy terharu dan sy sangat bangga Krn beliau benar2 cinta tanah air,positive
"saya bangga punya presiden p prabowo bravo, hajar para koruptor",positive
Masyarakat puas dengan memilih Bapak  PRABOWO. Oke gaass,positive
Hebat pak Prabowo,positive
Prabowon is the best. Semoga sehat dan panjang umurnya.,positive
Ini baru pemimpin yg tegas.,positive
Mantap pak Prabowo babat terus korupsi . ambil hartanya  untuk bayar utang negara,positive
"Mantap pak prabowo, masyarakat mendukung Bapak.",positive
Semangat pak presiden brantas terus para koruptor doa rakyat selalu menyertai mu. Sehat-sehat pak presiden,positive
"Mantap pak presiden, kikis habis korupsi di Bumi NKRI",positive
Dukung pemerintahan Prabowo-Gibran,positive
Visi Kerja Prabowo-Gibran bisa membuat kondisi politik yang tenang memudahkan jalannya pembangunan pemerintahan.,positive
Program yang akan dijalankan pemerintahan Prabowo Gibran Soal Program Melanjutkan Pembangunan Infrastruktur diharapkan dapat memberikan efek kesejahteraan bagi masyarakat Indonesia. Kami pasti akan selalu mendukung dan ikuti mensukseskan program tersebut,positive
Harapan sebagai Rakyat Pemerintahan Prabowo Gibran mampu membawa Rakyat Indonesia ke level yang lebih tinggi di semua sektor Pendidikan Ekonomi Pendapatan perkapita Lapangan Kerja serta penegakan Hukum yang lebih baik. Semoga Amanah menjalankan mandat Rakyat,positive
Pembekalan ini bukti keseriusan pemerintahan Prabowo-Gibran untuk mengelola negara dengan cara yang terukur dan matang,positive
Visi dan Misi pemerintahan Presiden Prabowo dan Gibran dengan tujuan untuk pengembangan dan membawa Negara menuju Indonesia Emas 2045,positive
kinerja Visi Kerja Prabowo-Gibran telah menjawab harapan rakyat serta dukungan rakyat kepada pemerintahan,positive
Luar biasa Pak Prabowo dan Pak Gibran,positive
"Anak muda di pemerintahan tuh perlu banget, kayak Gibran ini contohnya",positive
Salut buat Gibran yang masih muda tapi tanggung jawabnya besar,positive
Pemerintah sekarang responsif banget kalo ada masalah,positive
"Gibran cocok banget jadi Wapres muda, fresh vibe-nya terasa",positive
Prabowo keliatan tulus pengen beresin masalah pangan,positive
"Akhirnya pemerintah gerak cepat juga, salut buat Prabowo dan Gibran",positive
"Keren sih program ekonominya Prabowo-Gibran, semoga beneran jalan terus",positive
Kinerja Prabowo-Gibran sejauh ini masih oke banget,positive
"Harus diakui, beberapa kebijakan mereka emang keren banget",positive
"Kinerja kabinetnya juga bagus, keliatan solid",positive
"Kinerja sejauh ini solid, semoga konsisten",positive
Bismillah bapakk prabowo sehat slalu aamiin,positive
Alhamdulillah saya gak salah pilih dari dulu saya pilih hingga sekarang semoga Indonesia maju  rakyat Indonesia makmur semua Amiiin,positive
MantaaaP..P. Prabowo. .ganyang  Koruptor  lindungi wong  cilik  p,positive
Lanjutkan pak Prabowo,positive
Seblm jdi presiden hingga jdi presiden tekadny ttap sama.luar biasa.,positive
Setiap pak presiden Prabowo bicara steatment2 membuat sy terharu dan sy sangat bangga Krn beliau benar2 cinta tanah,positive
